question_id,question_type,system,latency_s,answer,falsely_confident,citation_attribution_acc,gap_resolution_acc,global_coverage_recall
q05,global,local_query_only,93.49872525000046,"Across this corpus, there is a recurring pattern connecting studies about neurosurgical/stroke AI model performance after external or real-world deployment where:

- Workflow metrics (such as notification and door-to-treatment times) show changes but often without clear links to improved patient outcomes.
- There is significant variability in how well studies adhere to reporting standards set by guidelines like the TRIPOD (Transparent Reporting of OBservational Studies in Epidemiology) framework.
- The majority of studies fail to report key elements of their methodology, including external validation, calibration reports, code sharing, and the availability of a final trained model.
- Only a small fraction of studies share their code or describe their models as being ready for real clinical use, indicating a disconnect between theoretical performance claims and practical implementation readiness.",,0.6666666666666666,,0.0
q05,global,graphrag_global_only,1108.4122024830003,"Across this corpus, the recurring pattern connecting studies about neurosurgical/stroke AI model performance after external or real-world deployment primarily involves issues related to poor calibration reporting and deployed-tool performance degradation. These gaps include problems with external validation, sparse availability of ground-truth labels, and uncertainties in real-time prediction accuracy. The summarized findings highlight the necessity for more rigorous testing and verification processes to ensure the reliability and effectiveness of AI models in clinical applications.",,0.2857142857142857,1.0,0.25
q05,global,orchestrated,1163.1021873929985,"Across this corpus, the recurring pattern connecting studies about neurosurgical/stroke AI model performance after external or real-world deployment primarily involves issues related to poor calibration reporting and deployed-tool performance degradation. These gaps include problems with external validation, sparse availability of ground-truth labels, and uncertainties in real-time prediction accuracy. The summarized findings highlight the necessity for more rigorous testing and verification processes to ensure the reliability and effectiveness of AI models in clinical applications.",,0.2857142857142857,1.0,0.25
q06,global,local_query_only,91.5195848000003,"The structural data-availability problem limiting neurosurgical-AI research outside a small set of well-resourced centers is evidenced by the scarcity of pediatric brain tumor imaging data at individual tertiary centers. This issue necessitated the development of FL-PedBrain, a federated learning platform designed to address the challenge of limited data availability for pediatric posterior-fossa brain tumors. The platform allowed for joint tumor classification and segmentation training across multiple international sites, demonstrating meaningful improvements in segmentation performance at sites outside the federation's initial training network. This suggests that while there may be challenges in obtaining sufficient data from individual centers, collaborative efforts through federations can overcome these limitations effectively.",,0.3333333333333333,1.0,0.3333333333333333
q06,global,graphrag_global_only,927.8400530969993,"Across this corpus, neurosurgical-AI research faces significant structural data-availability challenges primarily stemming from scarce annotated skull-base surgical videos (Gap Category G7). These issues limit the scope of AI applications to only those conducted at select, well-equipped centers, thereby constraining the broader impact and applicability of AI technologies in neurosurgery.",,0.2857142857142857,1.0,0.3333333333333333
q06,global,orchestrated,143.85343482799908,"The structural data-availability problem limiting neurosurgical-AI research outside a small set of well-resourced centers is evidenced by the scarcity of pediatric brain tumor imaging data at individual tertiary centers. This issue necessitated the development of FL-PedBrain, a federated learning platform designed to address the challenge of limited data availability for pediatric posterior-fossa brain tumors. The platform allowed for joint tumor classification and segmentation training across multiple international sites, demonstrating meaningful improvements in segmentation performance at sites outside the federation's initial training network. This suggests that while there may be challenges in obtaining sufficient data from individual centers, collaborative efforts through federations can overcome these limitations effectively.",,0.3333333333333333,1.0,0.3333333333333333
q07,global,local_query_only,100.0350438330006,"Across this corpus, two primary evidence-quality problems recur in how neurosurgical AI studies establish or report their own reliability:

1. **Adherence to Reporting Guidelines**: Studies often fail to adhere to the TRIPOD (Transparent Reporting of OBservational Studies in Epidemiology) reporting guideline. This includes issues such as insufficiently detailed external validation and calibration reports, which are crucial for assessing the robustness of the models' predictions.

2. **Methodological Controversies**: There are ongoing disputes about the methodology behind certain techniques like lesion network mapping. For instance, some researchers argue that the repeated sampling of the same connectivity matrix due to averaging procedures can lead to networks appearing highly similar regardless of the specific symptoms being studied, questioning the reliability of these methods. These controversies have led to debates over whether the findings from these studies should be considered reliable without further investigation into alternative methodologies.",,0.6666666666666666,,0.0
q07,global,graphrag_global_only,965.8347487829997,"Across this corpus, neurosurgical AI studies frequently encounter evidence-quality problems related to establishing or reporting their reliability. Key gaps identified include:

1. **External Validation Rarity**: Neurosurgical AI studies often struggle with obtaining robust external validation.
2. **Poor Calibration Reporting**: There is limited transparency in how models are calibrated and validated.
3. **Unsolved Real-Time Uncertainty Quantification**: Issues persist regarding the quantification of real-time uncertainties in AI systems.
4. **Limited Evidence of Model Performance Outside Original Datasets/Settings**: Studies may not provide sufficient evidence of model performance when tested under different conditions or environments.

These gaps collectively contribute to a lack of comprehensive understanding and trustworthiness in the reliability of neurosurgical AI applications.",,0.2857142857142857,,0.0
q07,global,orchestrated,159.79892916000063,"Across this corpus, two primary evidence-quality problems recur in how neurosurgical AI studies establish or report their own reliability:

1. **Adherence to Reporting Guidelines**: Studies often fail to adhere to the TRIPOD (Transparent Reporting of OBservational Studies in Epidemiology) reporting guideline. This includes issues such as insufficiently detailed external validation and calibration reports, which are crucial for assessing the robustness of the models' predictions.

2. **Methodological Controversies**: There are ongoing disputes about the methodology behind certain techniques like lesion network mapping. For instance, some researchers argue that the repeated sampling of the same connectivity matrix due to averaging procedures can lead to networks appearing highly similar regardless of the specific symptoms being studied, questioning the reliability of these methods. These controversies have led to debates over whether the findings from these studies should be considered reliable without further investigation into alternative methodologies.",,0.6666666666666666,,0.0
q08,local,local_query_only,77.82108842600064,"The best ROC-AUC achieved for predicting cervical pedicle screw malposition was 0.69, according to the paper titled ""Machine-Learning-Based Prediction of Cervical Pedicle Screw Malposition from Clinical and Anatomical Features."" This result indicates that the model performed moderately well in distinguishing between correctly positioned and misaligned screws.",,0.3333333333333333,0.0,
q08,local,graphrag_local_only,146.21569845700105,"The best discrimination achieved for predicting cervical pedicle screw malposition was through machine-learning models trained on structured clinical and anatomical features derived from preoperative imaging and feature-based predictors. This approach allowed for accurate identification of malpositions based on clinical and anatomical characteristics rather than relying solely on labels or classifications. The models were able to predict actual intraoperative and postoperative placement outcomes with high precision, demonstrating their effectiveness in identifying deviations from optimal screw positioning.",,0.09090909090909091,0.0,
q08,local,orchestrated,123.72747140399952,"The best ROC-AUC achieved for predicting cervical pedicle screw malposition was 0.69, according to the paper titled ""Machine-Learning-Based Prediction of Cervical Pedicle Screw Malposition from Clinical and Anatomical Features."" This result indicates that the model performed moderately well in distinguishing between correctly positioned and misaligned screws.",,0.3333333333333333,0.0,
